Timestamp               Ty Process[PID:TID]
2026-07-17 01:07:24.669 Sp App[12621:3e3ac5] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=376
2026-07-17 01:07:27.827 Sp App[12621:3e3ac2] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=534
2026-07-17 01:07:30.661 Sp App[12621:3e3ac2] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=370
2026-07-17 01:07:33.753 Sp App[12621:3e3ac1] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=461
2026-07-17 01:07:36.804 Sp App[12621:3e3ac5] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=512
2026-07-17 01:07:39.659 Sp App[12621:3e3ac2] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=366
2026-07-17 01:07:43.056 Sp App[12621:3e3ac1] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=763
2026-07-17 01:07:45.577 Sp App[12621:3e3ac1] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/notifications status=200 ms=275
2026-07-17 01:07:45.648 Sp App[12621:3e3ac1] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=356
2026-07-17 01:07:48.684 Sp App[12621:3e3ac2] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=391
2026-07-17 01:07:51.729 Sp App[12621:3e3ac5] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=437
2026-07-17 01:07:54.693 Sp App[12621:3e3ac0] [com.almatraders.erp.perf:Perf] [spid excl, process, event] api.request: GET /api/assistant/office/intercom status=200 ms=400
